ID,Start time,Completion time,Email,Name,Which team do you contribute to?,"On my team, information is actively sought ","On my team, I feel I can deliver bad news or news of a failure without retribution","On my team, responsibilities are shared","On my team, cross-functional collaboration is encouraged and rewarded","On my team, failure leads to learning","On my team, new ideas are welcomed",Is there any additional information to help frame your submissions above? Examples?
21,2/8/21 14:05:15,2/8/21 14:05:40,anonymous,,Platform - Scrum Bags,,,,,,,
22,2/8/21 13:58:49,2/8/21 14:06:43,anonymous,,Platform - Scrum Bags,,,,,,,
23,2/8/21 13:59:24,2/8/21 14:06:52,anonymous,,SAT - Deja Vu,,,,,,,
24,2/8/21 14:06:01,2/8/21 14:06:53,anonymous,,SAT - The Pharside,,,,,,,
25,2/8/21 14:07:41,2/8/21 14:08:10,anonymous,,SAT - The Pharside,,,,,,,
26,2/8/21 13:58:56,2/8/21 14:09:28,anonymous,,SAT - The Survivors,,,,,,,
27,2/8/21 14:09:21,2/8/21 14:10:04,anonymous,,SAT - The Survivors,,,,,,,
28,2/8/21 14:11:16,2/8/21 14:11:43,anonymous,,SAT - Roadmap Rejects,,,,,,,
29,2/8/21 14:11:10,2/8/21 14:12:16,anonymous,,Enabling - Architecture,,,,,,,
30,2/8/21 14:10:18,2/8/21 14:12:41,anonymous,,Enabling - Performance & Monitoring,,,,,,,
31,2/8/21 14:12:20,2/8/21 14:13:00,anonymous,,Enabling - CDP,,,,,,,
32,2/8/21 14:11:20,2/8/21 14:13:04,anonymous,,Platform - Covert DevOps,,,,,,,
33,2/8/21 14:12:10,2/8/21 14:14:09,anonymous,,SAT - The Survivors,,,,,,,
34,2/8/21 14:14:49,2/8/21 14:15:36,anonymous,,Enabling - CDP,,,,,,,
35,2/8/21 14:16:08,2/8/21 14:16:41,anonymous,,Enabling - CDP,,,,,,,
36,2/8/21 14:18:21,2/8/21 14:19:16,anonymous,,Platform - Coral,,,,,,,
37,2/8/21 14:17:49,2/8/21 14:23:29,anonymous,,Complicated Subsystem - OID,,,,,,,
38,2/8/21 14:20:37,2/8/21 14:23:52,anonymous,,SAT - The Pharside,,,,,,,
39,2/8/21 14:24:08,2/8/21 14:24:22,anonymous,,Complicated Subsystem - OID,,,,,,,
40,2/8/21 14:16:53,2/8/21 14:24:58,anonymous,,SAT - The Survivors,,,,,,,
41,2/8/21 14:27:21,2/8/21 14:28:00,anonymous,,Platform - Coral,,,,,,,
42,2/8/21 14:30:31,2/8/21 14:32:05,anonymous,,SAT - LATTE,,,,,,,
43,2/8/21 14:32:11,2/8/21 14:33:11,anonymous,,Enabling - Performance & Monitoring,,,,,,,
44,2/8/21 14:09:55,2/8/21 14:39:52,anonymous,,SAT - LATTE,,,,,,,
45,2/8/21 14:39:26,2/8/21 14:40:57,anonymous,,SAT - Deja Vu,,,,,,,
46,2/8/21 14:40:59,2/8/21 14:41:49,anonymous,,SAT - Roadmap Rejects,,,,,,,
47,2/8/21 14:41:45,2/8/21 14:42:11,anonymous,,Enabling - CDP,,,,,,,
48,2/8/21 14:39:19,2/8/21 14:43:12,anonymous,,SAT - The Pharside,,,,,,,
49,2/8/21 14:44:42,2/8/21 14:45:49,anonymous,,Platform - Coral,,,,,,,
50,2/8/21 14:45:42,2/8/21 14:46:23,anonymous,,SAT - The Pharside,,,,,,,
51,2/8/21 14:37:47,2/8/21 14:46:27,anonymous,,Platform - Covert DevOps,,,,,,,
52,2/8/21 14:45:49,2/8/21 14:46:38,anonymous,,Enabling - CDP,,,,,,,
53,2/8/21 14:46:38,2/8/21 14:47:07,anonymous,,SAT - T-Wrecks,,,,,,,
54,2/8/21 14:50:01,2/8/21 14:50:58,anonymous,,SAT - LATTE,,,,,,,
55,2/8/21 14:55:44,2/8/21 14:56:30,anonymous,,Enabling - CDP,,,,,,,
56,2/8/21 14:56:00,2/8/21 14:56:46,anonymous,,SAT - Stillwater,,,,,,,
57,2/8/21 14:55:59,2/8/21 14:56:53,anonymous,,Platform - Scrum Bags,,,,,,,
58,2/8/21 14:35:59,2/8/21 14:58:17,anonymous,,SAT - The Survivors,,,,,,,
59,2/8/21 15:01:18,2/8/21 15:01:57,anonymous,,Enabling - Architecture,,,,,,,
60,2/8/21 15:02:20,2/8/21 15:03:14,anonymous,,SAT - The Sims,,,,,,,
61,2/8/21 15:07:43,2/8/21 15:08:48,anonymous,,SAT - The Sims,,,,,,,
62,2/8/21 15:10:15,2/8/21 15:11:50,anonymous,,SAT - The Sims,,,,,,,
63,2/8/21 13:59:07,2/8/21 15:17:17,anonymous,,SAT - T-Wrecks,,,,,,,
64,2/8/21 15:19:34,2/8/21 15:20:41,anonymous,,SAT - LATTE,,,,,,,
65,2/8/21 15:23:15,2/8/21 15:27:21,anonymous,,SAT - T-Wrecks,,,,,,,
66,2/8/21 15:09:00,2/8/21 15:28:42,anonymous,,SAT - T-Wrecks,,,,,,,
67,2/8/21 15:00:33,2/8/21 15:29:50,anonymous,,Enabling - CDP,,,,,,,
68,2/8/21 14:00:41,2/8/21 15:43:11,anonymous,,SAT - Roadmap Rejects,,,,,,,
69,2/8/21 15:51:19,2/8/21 15:52:01,anonymous,,SAT - T-Wrecks,,,,,,,
70,2/8/21 15:54:08,2/8/21 15:55:11,anonymous,,SAT - LATTE,,,,,,,
71,2/8/21 15:55:15,2/8/21 15:55:28,anonymous,,SAT - LATTE,,,,,,,
72,2/8/21 16:13:02,2/8/21 16:16:35,anonymous,,Enabling - Architecture,,,,,,,
73,2/8/21 16:19:26,2/8/21 16:21:13,anonymous,,SAT - The Survivors,,,,,,,
74,2/8/21 16:21:15,2/8/21 16:22:23,anonymous,,Enabling - Architecture,,,,,,,
75,2/8/21 16:25:20,2/8/21 16:26:38,anonymous,,Platform - Scrum Bags,,,,,,,
76,2/8/21 16:25:57,2/8/21 16:26:54,anonymous,,Platform - Scrum Bags,,,,,,,
77,2/8/21 16:26:40,2/8/21 16:26:59,anonymous,,SAT - Stillwater,,,,,,,
78,2/8/21 16:29:26,2/8/21 16:29:54,anonymous,,Enabling - CDP,,,,,,,
79,2/8/21 17:27:19,2/8/21 17:28:31,anonymous,,SAT - Roadmap Rejects,,,,,,,
80,2/8/21 17:28:03,2/8/21 17:29:06,anonymous,,Platform - Covert DevOps,,,,,,,
81,2/8/21 17:29:08,2/8/21 17:30:13,anonymous,,SAT - Deja Vu,,,,,,,
82,2/8/21 18:53:01,2/8/21 18:53:42,anonymous,,Enabling - Architecture,,,,,,,
83,2/9/21 8:25:04,2/9/21 8:25:48,anonymous,,SAT - Deja Vu,,,,,,,
84,2/9/21 8:25:51,2/9/21 8:26:15,anonymous,,SAT - Roadmap Rejects,,,,,,,
85,2/9/21 8:26:17,2/9/21 8:27:09,anonymous,,Enabling - Architecture,,,,,,,
86,2/9/21 8:57:54,2/9/21 9:10:34,anonymous,,SAT - Deja Vu,,,,,,,
87,2/9/21 9:13:46,2/9/21 9:14:23,anonymous,,Enabling - CDP,,,,,,,
88,2/9/21 10:16:31,2/9/21 10:18:57,anonymous,,SAT - The Pharside,,,,,,,
89,2/9/21 10:19:00,2/9/21 10:19:48,anonymous,,SAT - LATTE,,,,,,,
90,2/9/21 10:19:54,2/9/21 10:20:34,anonymous,,SAT - The Pharside,,,,,,,
91,2/9/21 10:25:55,2/9/21 10:26:29,anonymous,,SAT - Stillwater,,,,,,,
92,2/9/21 10:26:33,2/9/21 10:26:53,anonymous,,SAT - LATTE,,,,,,,
93,2/9/21 10:41:22,2/9/21 10:44:34,anonymous,,SAT - Deja Vu,,,,,,,
94,2/9/21 10:48:18,2/9/21 10:53:19,anonymous,,SAT - The Pharside,,,,,,,
95,2/9/21 10:55:12,2/9/21 10:56:11,anonymous,,SAT - The Sims,,,,,,,
96,2/9/21 11:03:21,2/9/21 11:06:09,anonymous,,Platform - Four,,,,,,,
97,2/9/21 11:08:55,2/9/21 11:09:29,anonymous,,Platform - Four,,,,,,,
98,2/9/21 15:27:11,2/9/21 15:27:54,anonymous,,SAT - The Pharside,,,,,,,
99,2/9/21 16:18:29,2/9/21 16:19:18,anonymous,,SAT - The Survivors,,,,,,,
100,2/10/21 7:43:54,2/10/21 7:44:33,anonymous,,SAT - The Sims,,,,,,,
101,2/10/21 8:37:11,2/10/21 8:41:03,anonymous,,SAT - Roadmap Rejects,,,,,,,
102,2/10/21 8:41:08,2/10/21 8:41:38,anonymous,,SAT - Deja Vu,,,,,,,
103,2/10/21 8:41:41,2/10/21 8:42:04,anonymous,,Platform - Coral,,,,,,,
104,2/10/21 9:22:05,2/10/21 9:22:40,anonymous,,Complicated Subsystem - OID,,,,,,,
105,2/10/21 9:22:42,2/10/21 9:23:23,anonymous,,Platform - Covert DevOps,,,,,,,
106,2/10/21 9:23:25,2/10/21 9:23:45,anonymous,,Platform - Four,,,,,,,
107,2/10/21 9:23:47,2/10/21 9:24:03,anonymous,,Platform - Scrum Bags,,,,,,,
108,2/10/21 9:24:05,2/10/21 9:24:28,anonymous,,SAT - Stillwater,,,,,,,
109,2/10/21 9:24:30,2/10/21 9:24:54,anonymous,,SAT - T-Wrecks,,,,,,,
110,2/10/21 9:24:56,2/10/21 9:25:26,anonymous,,SAT - The Sims,,,,,,,
111,2/10/21 10:48:05,2/10/21 10:49:01,anonymous,,Enabling - CDP,,,,,,,
112,2/10/21 13:33:50,2/10/21 13:35:50,anonymous,,SAT - Stillwater,,,,,,,
113,2/11/21 14:04:52,2/11/21 14:06:04,anonymous,,Platform - Scrum Bags,,,,,,,
114,2/11/21 14:08:41,2/11/21 14:09:01,anonymous,,Platform - Covert DevOps,,,,,,,
115,2/11/21 14:09:12,2/11/21 14:09:41,anonymous,,Enabling - Performance & Monitoring,,,,,,,
116,2/11/21 14:33:37,2/11/21 14:34:40,anonymous,,SAT - Roadmap Rejects,,,,,,,
117,2/11/21 14:34:03,2/11/21 14:35:41,anonymous,,Enabling - Konnect,,,,,,,
118,2/11/21 14:33:40,2/11/21 14:38:19,anonymous,,SAT - Stillwater,,,,,,,
119,2/11/21 14:36:33,2/11/21 14:38:25,anonymous,,SAT - LATTE,,,,,,,
120,2/11/21 14:54:43,2/11/21 14:55:22,anonymous,,Platform - Scrum Bags,,,,,,,
121,2/11/21 14:55:47,2/11/21 14:56:46,anonymous,,SAT - Stillwater,,,,,,,
122,2/11/21 15:04:19,2/11/21 15:05:36,anonymous,,SAT - The Sims,,,,,,,
123,2/11/21 16:33:43,2/11/21 16:34:52,anonymous,,SAT - Stillwater,,,,,,,
124,2/11/21 16:36:38,2/11/21 16:37:56,anonymous,,Platform - Covert DevOps,,,,,,,
125,2/11/21 16:37:59,2/11/21 16:38:20,anonymous,,SAT - Stillwater,,,,,,,
126,2/11/21 14:33:44,2/11/21 17:27:08,anonymous,,SAT - Deja Vu,,,,,,,
127,2/12/21 7:14:11,2/12/21 7:15:06,anonymous,,SAT - Stillwater,,,,,,,
128,2/12/21 7:57:22,2/12/21 7:58:56,anonymous,,SAT - Deja Vu,,,,,,,
129,2/12/21 7:58:59,2/12/21 8:00:08,anonymous,,SAT - LATTE,,,,,,,
130,2/11/21 16:33:40,2/12/21 8:27:08,anonymous,,SAT - Stillwater,,,,,,,
131,2/12/21 8:28:12,2/12/21 8:34:36,anonymous,,Enabling - Performance & Monitoring,,,,,,,
132,2/12/21 9:08:58,2/12/21 9:10:24,anonymous,,SAT - The Pharside,,,,,,,
133,2/12/21 10:18:12,2/12/21 10:20:21,anonymous,,SAT - LATTE,,,,,,,
134,2/12/21 10:30:33,2/12/21 10:33:02,anonymous,,SAT - The Survivors,,,,,,,
135,2/12/21 11:44:52,2/12/21 11:45:18,anonymous,,Platform - Coral,,,,,,,
136,2/12/21 14:14:34,2/12/21 14:15:33,anonymous,,SAT - LATTE,,,,,,,
137,2/12/21 14:42:37,2/12/21 14:43:06,anonymous,,Platform - Four,,,,,,,
138,2/15/21 7:27:37,2/15/21 7:29:09,anonymous,,SAT - The Pharside,,,,,,,
139,2/15/21 12:08:11,2/15/21 12:09:27,anonymous,,SAT - The Pharside,,,,,,,
140,2/15/21 12:47:27,2/15/21 12:48:24,anonymous,,Platform - Four,,,,,,,
141,2/15/21 12:48:26,2/15/21 12:49:04,anonymous,,SAT - Deja Vu,,,,,,,
142,2/15/21 13:45:23,2/15/21 13:46:31,anonymous,,SAT - Deja Vu,,,,,,,
143,2/16/21 5:51:29,2/16/21 5:52:08,anonymous,,SAT - T-Wrecks,,,,,,,
144,2/16/21 20:34:56,2/16/21 20:35:36,anonymous,,SAT - The Survivors,,,,,,,
145,2/17/21 14:18:24,2/17/21 14:19:16,anonymous,,Enabling - Performance & Monitoring,,,,,,,
146,2/17/21 14:19:20,2/17/21 14:20:04,anonymous,,Platform - Four,,,,,,,
147,2/17/21 14:42:36,2/17/21 14:43:14,anonymous,,SAT - The Survivors,,,,,,,
148,2/18/21 14:35:09,2/18/21 14:36:07,anonymous,,Platform - Scrum Bags,,,,,,,
149,2/18/21 14:43:58,2/18/21 14:54:05,anonymous,,SAT - The Survivors,,,,,,,
150,2/22/21 11:46:54,2/22/21 11:49:08,anonymous,,Enabling - Performance & Monitoring,,,,,,,
151,2/22/21 11:49:19,2/22/21 11:50:01,anonymous,,SAT - Roadmap Rejects,,,,,,,
152,5/3/21 10:56:54,5/3/21 10:57:44,anonymous,,SAT - FBI,7,7,7,5,7,7,
153,5/3/21 10:56:23,5/3/21 10:58:52,anonymous,,Enabling - CDP,6,4,6,4,7,6,
154,5/3/21 10:57:47,5/3/21 10:59:08,anonymous,,Enabling - Performance & Monitoring,6,7,4,4,6,7,
155,5/3/21 10:58:45,5/3/21 10:59:37,anonymous,,SAT - The Pharside,7,7,7,7,7,7,
156,5/3/21 10:56:53,5/3/21 11:00:31,anonymous,,SAT - Deja Vu,7,7,7,7,7,7,
157,5/3/21 10:58:37,5/3/21 11:01:20,anonymous,,SAT - The Pharside,1,1,1,1,1,1,
158,5/3/21 10:59:13,5/3/21 11:02:13,anonymous,,SAT - Stillwater,6,6,6,4,4,6,
159,5/3/21 11:01:35,5/3/21 11:03:14,anonymous,,Enabling - Architecture,5,7,5,6,4,6,
160,5/3/21 11:01:25,5/3/21 11:04:12,anonymous,,SAT - The Sims,6,5,6,7,7,5,
161,5/3/21 10:56:37,5/3/21 11:04:28,anonymous,,Platform - Scrum Bags,6,6,7,7,6,7,
162,5/3/21 10:56:43,5/3/21 11:05:29,anonymous,,SAT - LATTE,5,6,5,5,5,6,"LATTE is shifting from primary involvement from a few key players to expansion of more involvement of participants from other areas (Prod Support for example).  Most participants still contribute primarily per their defined job role but work well together.  QA is a unifying functional area.  Everyone is helpful and there is a strong team orientation.  Lauren, Nami, and Rajashree are strong leaders.  I appreciate the opportunities for learning, growth, and increased contribution to the team!  "
163,5/3/21 11:04:57,5/3/21 11:05:44,anonymous,,SAT - Parks & Integration,7,7,7,7,7,7,
164,5/3/21 11:01:23,5/3/21 11:06:06,anonymous,,Platform - Covert DevOps,7,7,7,7,7,7,"Sometimes following processes & procedures that were built & designed for very large applications, like HealthPlaNET, is difficult and cumbersome on smaller projects that don't really fit the same bill, yet we force it anyways."
165,5/3/21 11:03:42,5/3/21 11:06:15,anonymous,,Enabling - CDP,7,7,7,7,7,7,
166,5/3/21 11:05:23,5/3/21 11:06:20,anonymous,,Enabling - Performance & Monitoring,4,4,4,4,4,5,
167,5/3/21 11:12:38,5/3/21 11:13:35,anonymous,,SAT - Parks & Integration,7,7,7,7,7,7,
168,5/3/21 11:13:01,5/3/21 11:14:37,anonymous,,Platform - Four,7,7,7,7,7,7,
169,5/3/21 11:11:40,5/3/21 11:15:02,anonymous,,SAT - Parks & Integration,7,7,6,6,7,7,N/A
170,5/3/21 11:11:22,5/3/21 11:18:15,anonymous,,SAT - The Sims,6,6,6,7,6,6,
171,5/3/21 11:18:21,5/3/21 11:18:51,anonymous,,SAT - The Survivors,6,6,6,6,6,6,
172,5/3/21 11:19:55,5/3/21 11:20:31,anonymous,,SAT - LATTE,6,6,6,6,6,6,
173,5/3/21 11:03:30,5/3/21 11:21:05,anonymous,,Platform - Four,3,7,2,7,1,4,"""Our entire team is proactive in retrospective contribution and engaged in the process/conversation."" - I'm not sure how much we believe in retrospectives. We've been doing them a long time. And for nearly all of that time, any significant change needed collaboration across multiple teams. Which means any decision was going to be made by a manager or committee, and was going to take a long time. I think we've been conditioned against creativity.

""On my team, I feel I can deliver bad news or news of a failure without retribution."" - There's a good balance here. We have a bunch of highly motivated people who work extremely hard to get things right. But, when something goes wrong, we're able to address it openly.

""Cross training is built into our DNA. Work is committed as a team . . ."" Yeah. We're just not setup for this.

""On my team, cross-functional collaboration is encouraged and rewarded."" - The documentation effort led by Larry Wilson has been a tremendous gain in this area.

""We take risks in the pursuit of knowledge and are encouraged to fail early in order to learn."" - the way technology decision are made in the health plan prevents much of the experimentation and learning we would do."
174,5/3/21 11:22:18,5/3/21 11:24:16,anonymous,,SAT - The Sims,7,7,7,7,7,7,
175,5/3/21 11:24:12,5/3/21 11:24:44,anonymous,,Platform - Coral,7,5,7,6,7,5,
176,5/3/21 11:21:07,5/3/21 11:25:13,anonymous,,Enabling - Architecture,7,7,7,7,7,7,
177,5/3/21 11:24:19,5/3/21 11:25:16,anonymous,,Platform - Covert DevOps,7,7,7,6,6,7,
178,5/3/21 11:22:55,5/3/21 11:28:02,anonymous,,SAT - T-Wrecks,6,7,6,7,7,7,
179,5/3/21 11:04:20,5/3/21 11:28:38,anonymous,,SAT - Stillwater,7,3,4,3,3,6,
180,5/3/21 10:56:34,5/3/21 11:30:24,anonymous,,SAT - The Sims,7,7,6,7,6,7,The Sims team has been working cross training and education into each sprint in order to continuously sharpen skills. Throughout the sprint the devs pair up to cross train/pair program. At the end of each sprint they demo their education projects. 
181,5/3/21 11:00:58,5/3/21 11:31:10,anonymous,,SAT - The Pharside,7,7,5,6,7,7,
182,5/3/21 11:38:50,5/3/21 11:39:52,anonymous,,SAT - The Pharside,7,7,7,7,7,7,
183,5/3/21 11:40:04,5/3/21 11:43:48,anonymous,,Platform - Scrum Bags,7,7,7,7,7,7,
184,5/3/21 11:38:21,5/3/21 11:46:30,anonymous,,SAT - T-Wrecks,6,6,6,6,4,6,"The idea of ""how"" work should be designed is sometimes still changing, as architectural research is still currently active in finding solutions to meet new distributed business needs. The team doesn't always put enough weight into exploring new technical solutions that might not be the ""final"" solution - which can create significantly more effort to re-work later."
185,5/3/21 11:45:23,5/3/21 11:46:39,anonymous,,Platform - Coral,6,7,3,4,6,7,
186,5/3/21 11:33:23,5/3/21 11:57:10,anonymous,,SAT - The Survivors,7,7,6,6,6,7,"Everyone on the team is always very engaged and jumps in as needed. Everyone is opened to new ways of learning/working. Continually impressed by how everyone steps up when needed. 

Room for improvement on information sharing. Things like knowledge transfer or extra brainstorming sessions get pushed to back burner when there are other priorities "
187,5/3/21 11:55:39,5/3/21 12:00:21,anonymous,,SAT - The Survivors,6,7,5,5,5,6,
188,5/3/21 12:05:43,5/3/21 12:06:27,anonymous,,Platform - Scrum Bags,7,7,7,7,7,7,
189,5/3/21 12:10:55,5/3/21 12:12:52,anonymous,,SAT - The Sims,5,5,7,7,5,6,
190,5/3/21 12:02:17,5/3/21 12:26:02,anonymous,,SAT - The Survivors,5,7,2,2,3,1,
191,5/3/21 12:00:25,5/3/21 12:38:49,anonymous,,Enabling - Architecture,6,7,4,4,7,7,"For statement 1 - it has been difficult for this entire team to always be available for team meetings and discussions. With this group supporting many other teams, various members are pulled into assist or provide guidance on an as needed basis often dependent upon their particular area of expertise. PO resources assigned to the team have had many outside conflicts so have not been in many discussions. Have recently made a change to involve a new PO resource so that may help. 

For statement 3 and 4 on shared responsibilities and cross-functional collaboration - It is sometimes difficult to share responsibilities across this team given certain members have expertise and experience with different technical areas. There is a lot of productive cross functional discussion that does occur across team members. Also to the point above that not all team members can be in all conversations, the team is looking at better ways of capturing notes/takeaways/decisions from other team discussions and bring back to the rest of the group. We utilize our private team channel, some topics are raised in team meetings, but acknowledge that can be an area of improvement.  "
192,5/3/21 12:37:32,5/3/21 12:39:07,anonymous,,SAT - The Sims,1,1,1,1,1,1,"Team members have become cross functional. UI devs cross training on services. Services owning up Pipelines, deployments, and database work."
193,5/3/21 12:40:17,5/3/21 12:42:02,anonymous,,SAT - The Survivors,3,6,2,5,4,2,
194,5/3/21 12:55:51,5/3/21 13:00:05,anonymous,,Platform - Four,2,1,1,1,1,3,
195,5/3/21 13:00:08,5/3/21 13:01:18,anonymous,,Enabling - Performance & Monitoring,2,1,2,1,1,2,
196,5/3/21 12:26:41,5/3/21 13:04:20,anonymous,,Platform - Covert DevOps,6,6,6,5,6,7,"As a team I feel that we are always getting better sprint to sprint.. I feel that our team may have benefited from some kind of course prior to starting but nevertheless we are about 80-85% there. I learned a version of Agile/Scrum/Kanban over a week of an in person course that dramatically helped everyone out of the gate.

SIDE NOTE
Also, for .Net we would be best to acknowledge the fact we should move away from the traditional .Net Framework and move towards .Net Core (or as would be renamed to .Net 5) .. as Microsoft is moving away from the .Net Framework."
197,5/3/21 11:41:30,5/3/21 13:08:13,anonymous,,Platform - Four,6,6,6,6,6,6,
198,5/3/21 13:09:23,5/3/21 13:10:03,anonymous,,Platform - Coral,4,7,6,6,6,4,
199,5/3/21 13:08:37,5/3/21 13:11:01,anonymous,,Platform - Four,7,6,6,5,6,7,"I believe that Team 4 does a very good job at identifying changes that the Team wants to see and implementing them. IE: Business feedback meetings, Weekly Deployments, etc."
200,5/3/21 13:11:46,5/3/21 13:15:36,anonymous,,Platform - Scrum Bags,7,7,6,6,6,7,
201,5/3/21 11:13:28,5/3/21 13:19:34,anonymous,,SAT - Deja Vu,6,6,5,5,6,6,
202,5/3/21 13:35:44,5/3/21 13:37:56,anonymous,,SAT - The Survivors,6,6,6,4,5,4,
203,5/3/21 13:37:59,5/3/21 13:43:01,anonymous,,Enabling - Performance & Monitoring,2,5,1,2,5,1,"Team needs to do a better job at delegating work to all members. Often, there are only a few number of members who do most of the work. "
204,5/3/21 13:53:19,5/3/21 13:55:41,anonymous,,SAT - FBI,7,7,7,7,7,7,n/a
205,5/3/21 14:17:13,5/3/21 14:32:19,anonymous,,Enabling - CDP,6,6,6,7,6,7,"On CDP we get the opportunity to ""break new ground"" on app deployment for a number of different teams and app strategies. This could be difficult but our team comes from a lot of different areas and brings a wide array of knowledge to the table and Summer does a great job of getting the right people on the right initiative. It is encouraged to share experiences and suggestions during team meetings even if it is for an initiative you are not a part of because it often leads to new ideas and improvements; such as the Release Workitem Automation that saves countless hours each release, which was based on things learned while working on another initiative and mentioned during a team meeting. It is this kind of collaboration and innovation that makes CDP a fun team to be on while helping App Services to meet CI/CD goals."
206,5/3/21 14:34:39,5/3/21 14:36:12,anonymous,,SAT - The Pharside,7,7,6,6,7,7,"Our team works extremely well together, and everyone seems to feel comfortable challenging or proposing new ideas"
207,5/3/21 14:33:59,5/3/21 14:37:16,anonymous,,SAT - The Sims,6,7,6,7,7,7,I feel like our team is always striving to get better and everyone is always open for feed back.  
208,5/3/21 15:28:27,5/3/21 15:29:49,anonymous,,SAT - Deja Vu,7,7,7,7,7,7,
209,5/3/21 15:25:59,5/3/21 15:30:30,anonymous,,Platform - Covert DevOps,3,6,3,7,6,6,Retros are something the team does struggle with. It is challenging to get everyone to engage and it typically ends up being 2-3 people making most of the comments and participating in the discussion. 
210,5/3/21 15:30:32,5/3/21 15:32:23,anonymous,,SAT - Deja Vu,6,7,5,7,4,6,
211,5/3/21 14:59:34,5/3/21 15:55:19,anonymous,,SAT - Parks & Integration,7,7,7,7,7,7,"The P&I devs welcome iteration, being onboard with adapting designs that have to be modified once they're re-examined after development."
212,5/3/21 16:02:57,5/3/21 16:05:55,anonymous,,Enabling - Performance & Monitoring,4,2,3,3,1,3,
213,5/3/21 16:06:07,5/3/21 16:07:16,anonymous,,SAT - LATTE,7,6,2,3,7,7,
214,5/3/21 16:09:56,5/3/21 16:12:30,anonymous,,SAT - Deja Vu,7,6,6,6,4,7,
